"ResponseId","Gender","Age","Country","Country_6_TEXT","Race","Race_7_TEXT","Ethnicity","Ethnicity_5_TEXT","trial_names","item","values","stim_id","SES","SES_id"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","1","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","2","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","3","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","4","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","5","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","6","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","7","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","8","2",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","9","2",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1","10","4",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH1MC","MC","Physician",1,"high","high_1"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","1","3",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","2","4",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","3","4",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","4","4",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","5","3",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","6","4",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","7","4",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","8","2",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","9","3",2,"high","high_2"
"R_dbXG1cndyliDaJr","1","42","4","","6","","1","","wH2","10","2",2,"high","high_2"
