"ResponseId","SES","Gender","Age","Country","Race","Ethnicity","mean_pain"
"R_10GwZ59gBqF6frS","high","2","39","4","6","1",2.81
"R_10GwZ59gBqF6frS","low","2","39","4","6","1",2.79
"R_11ZtUIHK80CrpZT","high","1","32","4","6","1",2.85
"R_11ZtUIHK80CrpZT","low","1","32","4","6","1",2.85
"R_12yBWrqWgbRI6Fp","high","1","25","4","6","1",2.77
"R_12yBWrqWgbRI6Fp","low","1","25","4","6","1",2.78
"R_1CmfLH8xs3fJECX","high","","","","","",2.86666666666667
"R_1CmfLH8xs3fJECX","low","","","","","",3.13
"R_1cZi4T6vXIU2IPq","high","1","Male","4","6","1",3.77
"R_1cZi4T6vXIU2IPq","low","1","Male","4","6","1",3.77
"R_1d7fdukQyEGqays","high","1","29","4","6","1",2.39
"R_1d7fdukQyEGqays","low","1","29","4","6","1",2.61
"R_1DHeREwhb8uCL3v","high","2","55","4","6","1",2.46
"R_1DHeREwhb8uCL3v","low","2","55","4","6","1",2.7
"R_1FhXN1Erb9l6P8u","high","1","65","4","6","1",3.1
"R_1FhXN1Erb9l6P8u","low","1","65","4","6","1",3.15
"R_1FS9MPa9X2dcO03","high","1","30","4","3","2",3.3
"R_1FS9MPa9X2dcO03","low","1","30","4","3","2",3.54
"R_1GBOOy15FdmsOCQ","high","5","31","4","1","1",2.91
"R_1GBOOy15FdmsOCQ","low","5","31","4","1","1",2.92
"R_1GJlZIuaVFQJ5Mj","high","1","35","4","6","1",3.02
"R_1GJlZIuaVFQJ5Mj","low","1","35","4","6","1",3.11
"R_1gOQgLpf1djIVvD","high","1","21","4","6","1",2.9
"R_1gOQgLpf1djIVvD","low","1","21","4","6","1",3.12
"R_1I4amYkCBzEXegv","high","1","30","4","3","1",2.42
"R_1I4amYkCBzEXegv","low","1","30","4","3","1",2.48
"R_1Iav8CoSfztaF8G","high","2","34","4","6","1",2.49
"R_1Iav8CoSfztaF8G","low","2","34","4","6","1",2.5
"R_1IYLcXXIhudx5sM","high","2","48","4","6","1",3.14
"R_1IYLcXXIhudx5sM","low","2","48","4","6","1",3.04
"R_1je7vHqlzYf1kJz","high","5","23","4","3","1",1.93
