ResponseId,Gender,Age,Country,Country_6_TEXT,Race,Race_7_TEXT,Ethnicity,Ethnicity_5_TEXT,trial_names,item,values,MC_check,stim_id,SES,SES_id
R_3IRg2ONSnv7DQCD,1,42,4,,6,,1,,wH1MC,MC,computer,0,1,high,high_1
R_3ER5bLQlYb9GMe1,1,40,4,,"3,6",,2,,wH1MC,MC,financial manager,0,1,high,high_1
R_2PBxItnW4ReAjjc,2,29,4,,6,,1,,wH1MC,MC,financial supervisor,0,1,high,high_1
R_1kLyMlxwKXhmX3d,1,36,4,,6,,1,,wH1MC,MC,physican,1,1,high,high_1
R_dbXG1cndyliDaJr,1,42,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_ykbW47Pty814VaN,1,30,4,,3,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1LBZv1BC75sP20B,2,63,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_Rw2d5Q6Wn7yPpUl,1,43,4,,6,,5,Costa Rica,wH1MC,MC,physician,1,1,high,high_1
R_p4NhWXY3eO6P9fz,1,33,4,,1,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1Iav8CoSfztaF8G,2,34,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_3Phnsgod8bOzgnN,2,30,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_Z2jYsZHPy3OIMGB,2,46,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1d7fdukQyEGqays,1,29,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_2uQauBKWAoFs6Rx,1,39,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_2TC9VBztrP3wUyw,2,59,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_2TYm1xqthHbCPzd,2,30,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1gOQgLpf1djIVvD,1,21,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1FS9MPa9X2dcO03,1,30,4,,3,,2,,wH1MC,MC,physician,1,1,high,high_1
R_1kH0iMR5tqRO8pE,2,34,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_3eeiRiKDbhKVfDY,1,48,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_11ZtUIHK80CrpZT,1,32,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_3EJQjrtaTbRGbAJ,1,44,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1DHeREwhb8uCL3v,2,55,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1GBOOy15FdmsOCQ,5,31,4,,1,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1rcC9FGcOADU6T8,1,32,4,,3,,1,,wH1MC,MC,physician,1,1,high,high_1
R_3J8dVyUqUGLDtSa,1,33,4,,1,,1,,wH1MC,MC,physician,1,1,high,high_1
R_3kwdKbJyxDSE3Qn,1,30,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1N9vJUMm2prEohv,1,47,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_2ipQOd3E5l8OlPP,1,46,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1je7vHqlzYf1kJz,5,23,4,,3,,1,,wH1MC,MC,physician,1,1,high,high_1
R_PtdcCLbwhKUhiQp,2,57,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_10GwZ59gBqF6frS,2,39,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_3NwvuGukiJu628u,2,37,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1CmfLH8xs3fJECX,,,,,,,,,wH1MC,MC,physician,1,1,high,high_1
R_A0gdiriwvEpuHmh,2,22,4,,6,,1,,wH1MC,MC,physician,1,1,high,high_1
R_1mguyIYh2wvPnjv,,,,,,,,,wH1MC,MC,physician,1,1,high,high_1
R_12yBWrqWgbRI6Fp,1,25,4,,6,,1,,wH1MC,MC,sales supervisor.,0,1,high,high_1
R_1GBOOy15FdmsOCQ,5,31,4,,1,,1,,wH10MC,MC,engineer,0,10,high,high_10
R_3ER5bLQlYb9GMe1,1,40,4,,"3,6",,2,,wH10MC,MC,financial manager,0,10,high,high_10
R_dbXG1cndyliDaJr,1,42,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_ykbW47Pty814VaN,1,30,4,,3,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1LBZv1BC75sP20B,2,63,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3IRg2ONSnv7DQCD,1,42,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_Rw2d5Q6Wn7yPpUl,1,43,4,,6,,5,Costa Rica,wH10MC,MC,pharmacist,1,10,high,high_10
R_p4NhWXY3eO6P9fz,1,33,4,,1,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1Iav8CoSfztaF8G,2,34,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_12yBWrqWgbRI6Fp,1,25,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3Phnsgod8bOzgnN,2,30,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_Z2jYsZHPy3OIMGB,2,46,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1d7fdukQyEGqays,1,29,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_2uQauBKWAoFs6Rx,1,39,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_2TC9VBztrP3wUyw,2,59,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_2TYm1xqthHbCPzd,2,30,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1gOQgLpf1djIVvD,1,21,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1FS9MPa9X2dcO03,1,30,4,,3,,2,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1kH0iMR5tqRO8pE,2,34,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3eeiRiKDbhKVfDY,1,48,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_2PBxItnW4ReAjjc,2,29,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_11ZtUIHK80CrpZT,1,32,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3EJQjrtaTbRGbAJ,1,44,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1kLyMlxwKXhmX3d,1,36,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1DHeREwhb8uCL3v,2,55,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1rcC9FGcOADU6T8,1,32,4,,3,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3J8dVyUqUGLDtSa,1,33,4,,1,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3kwdKbJyxDSE3Qn,1,30,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1N9vJUMm2prEohv,1,47,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_2ipQOd3E5l8OlPP,1,46,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1je7vHqlzYf1kJz,5,23,4,,3,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_PtdcCLbwhKUhiQp,2,57,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_10GwZ59gBqF6frS,2,39,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3NwvuGukiJu628u,2,37,4,,6,,1,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1CmfLH8xs3fJECX,,,,,,,,,wH10MC,MC,pharmacist,1,10,high,high_10
R_2wzBdjn7SNUIpW5,,,,,,,,,wH10MC,MC,pharmacist,1,10,high,high_10
R_3DcqfOqDtzLKpKC,,,,,,,,,wH10MC,MC,pharmacist,1,10,high,high_10
R_1mguyIYh2wvPnjv,,,,,,,,,wH10MC,MC,pharmacist,1,10,high,high_10
R_A0gdiriwvEpuHmh,2,22,4,,6,,1,,wH10MC,MC,pharmastic,1,10,high,high_10
R_ROVd2iMM0raLd1T,1,27,4,,6,,1,,wH11MC,MC,baristo,0,11,high,high_11
R_1FPyJMzGsyowG2O,,,,,,,,,wH11MC,MC,doctor,1,11,high,high_11
R_bj6qHP0X02NRqTf,1,48,4,,6,,2,,wH11MC,MC,manser,0,11,high,high_11
R_1cZi4T6vXIU2IPq,1,Male,4,,6,,1,,wH11MC,MC,phsician,1,11,high,high_11
R_beIrWVOxdkZSdR7,1,32,4,,3,,4,,wH11MC,MC,physican,1,11,high,high_11
R_1jIkAHIYfkaMOKV,1,48,4,,6,,4,,wH11MC,MC,physican,1,11,high,high_11
R_1I4amYkCBzEXegv,1,30,4,,3,,1,,wH11MC,MC,physician,1,11,high,high_11
R_22QYSgkwKl2fl2B,2,50,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_330Wv4RTQVDYPFC,2,44,4,,5,,1,,wH11MC,MC,physician,1,11,high,high_11
R_3qegcuy6UJ8nn7T,1,33,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_3MA8RWNHzL3Skqy,1,29,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_21FlEWkbljN48cS,1,26,4,,3,,1,,wH11MC,MC,physician,1,11,high,high_11
R_bmFCI50SuIhFohH,1,35,4,,3,,1,,wH11MC,MC,physician,1,11,high,high_11
R_1FhXN1Erb9l6P8u,1,65,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_29gBHO2g4hG0HEd,1,32,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_2TObuo9SOHzKNMF,2,41,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_vPSRIFSw60M5szL,2,25,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_3k5MIEB1xR75maU,2,56,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_24JkcCIbk2G9jJe,2,33,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_2SGlMbZawCxjG04,1,32,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_9B6zCkFCyP83uil,1,25,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_rdqnfpc0MC9I8N3,1,25,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_1IYLcXXIhudx5sM,2,48,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_2PnVq30S0AywkYK,1,49,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_3PjIIwqqsuOKBE7,1,28,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
